manager_name,cik,accession_number,report_period,portfolio_value,position_count,mapping_coverage,price_history_coverage,volatility,mdd,beta,sector_hhi,unknown_sector_weight,n_sectors
Crumly & Associates Inc.,0001759578,0001759578-26-000004,31-MAR-2026,472006189,189,0.9917173608460248,0.9955813164136287,0.15607545368448253,0.1097375346655185,0.8005171541588036,0.7173802013575811,0.001606214095645527,13
"PRUDENT INVESTORS NETWORK, INC.",0001766005,0001986152-26-000081,31-MAR-2026,458659839,70,0.9987690373075578,0.9970921478477212,0.09839370573311025,0.07311556548238152,0.4956604288387502,0.7870251573561619,0.045612616260688396,9
"Generali Investments, Management Co LLC",0002043136,0002043136-26-000003,31-MAR-2026,429904597,159,1.0,0.9766076983819738,0.2119248087201728,0.1258695691807471,1.0943231163073865,0.21794061367769127,0.0044152893101188665,12
SECTOR GAMMA AS,0001475373,0000945621-26-000644,31-MAR-2026,387793903,39,0.9157109462279703,1.0,0.21219510727074534,0.13228374678077592,0.6533770578332755,0.9753649571085432,0.012473099660878367,2
"Fairvoy Private Wealth, LLC",0002046607,0002046607-26-000002,31-MAR-2026,415429614,194,0.9915781465998298,0.979443179512956,0.1414416542136021,0.09872798310093633,0.7309843407459171,0.341046967325399,0.002149083635446738,12
Kelly Financial Services LLC,0002023336,0001754960-26-000221,31-MAR-2026,413684110,125,0.9995127496239445,0.9970517552632128,0.12491791973026703,0.0852905761516104,0.6387131201028245,0.8644306671058901,0.0,12
Sequent Planning LLC,0002009724,0002085853-26-000438,31-MAR-2026,413070813,238,0.9987662298195524,0.9966733355232242,0.11462014295156962,0.08107462063006665,0.5931039355779207,0.7812465502457177,0.009602946382866618,12
"G2 CAPITAL MANAGEMENT, LLC / OH",0001910858,0001951757-26-000826,31-MAR-2026,411372885,70,1.0,0.9817715209887983,0.14896588974501335,0.10512224843679918,0.7758383034024672,0.8218614787985343,0.0,10
Tillman Hartley LLC,0001966355,0001966355-26-000002,31-MAR-2026,398300500,87,1.0,0.9980405849352436,0.12715359597443873,0.0936985134462952,0.6310165316979336,0.9172867995828895,0.0013667511383777598,9
"Cadent Capital Advisors, LLC",0001803536,0001803536-26-000002,31-MAR-2026,375938133,179,0.9944275751750337,0.9701483568308299,0.1753001426883453,0.12146085296581732,0.8925429601133058,0.47258934023291593,0.007497649635444054,13
"Veery Capital, LLC",0001844375,0002085853-26-000309,31-MAR-2026,325825069,93,0.9991534742404229,0.9967802354704635,0.14960160155119934,0.1046157612768468,0.7680246390708564,0.796854277063286,0.008680219891501893,11
"FLYNN ZITO CAPITAL MANAGEMENT, LLC",0001857144,0001857144-26-000002,31-MAR-2026,312318367,144,0.9977340629199589,0.9538292123562493,0.15950306829440042,0.11157956123251178,0.8296914879155318,0.47688456823118924,0.042920515090276654,13
"Pegasus Asset Management, Inc.",0001729049,0001729049-26-000002,31-MAR-2026,301319566,62,0.9634254560213998,0.963352987173757,0.19132112049747554,0.12730392242904764,0.9932966412984293,0.1398881880559264,0.0,10
Prodigy Asset Management LLC,0001956244,0001956244-26-000003,31-MAR-2026,299508853,26,1.0,0.8795241287909443,0.09946378160946599,0.06921462411268586,0.5050589866172472,0.9512307928490743,0.0,7
Windward Private Wealth Management Inc.,0001835866,0001835866-26-000004,31-MAR-2026,289282380,44,1.0,1.0,0.10153432057681139,0.07235438227451507,0.5041716442670402,0.9021101906749718,0.04670910824226488,6
